id,alcance,categoria,uso,recurso,pais,anio,unidad,kg_co2_por_unidad,kg_ch4_por_unidad,kg_n2o_por_unidad,kg_co2e_por_unidad,set_pcg,calidad,fuente,url,licencia,verificado_el,notas
cl-gasolina-est,1,,estacionaria,gasolina,CL,2025,L,,,,2.2678922621174396,AR5,alta,HuellaChile (MMA) - base IPCC 2006 Cuadro 2.4,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Gasolina en equipos fijos.
cl-gasolina-mov,1,,movil,gasolina,CL,2025,L,,,,2.3453216986751997,AR5,alta,HuellaChile (MMA) - base IPCC 2006 Cuadro 3.2.1 y 3.2.2,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Gasolina de vehiculos (bencina).
cl-glp-est,1,,estacionaria,glp,CL,2025,L,,,,1.6746640209139498,AR5,alta,HuellaChile (MMA) - base IPCC 2006 Cuadro 2.4,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Gas licuado en calderas cocinas y calefaccion.
cl-glp-mov,1,,movil,glp,CL,2025,L,,,,1.7176115899106998,AR5,alta,HuellaChile (MMA) - base IPCC 2006 Cuadro 3.2.1 y 3.2.2,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Gas licuado en vehiculos.
cl-gasnatural-est,1,,estacionaria,gas natural,CL,2025,m3,,,,1.9804687688971803,AR5,alta,HuellaChile (MMA) - base IPCC 2006 Cuadro 2.4,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Gas natural y gas de caneria en equipos fijos.
cl-gnc-mov,1,,movil,gas natural comprimido,CL,2025,m3,,,,2.09326078848132,AR5,alta,HuellaChile (MMA) - base IPCC 2006 Cuadro 3.2.1 y 3.2.2,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Gas natural comprimido vehicular.
cl-kerosene-est,1,,estacionaria,kerosene,CL,2025,L,,,,2.5869397811495394,AR5,alta,HuellaChile (MMA) - base IPCC 2006 Cuadro 2.4,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Kerosene y parafina en estufas y calderas.
cl-kerosene-mov,1,,movil,kerosene,CL,2025,L,,,,2.579930557948979,AR5,alta,HuellaChile (MMA) - base IPCC 2006 Cuadro 3.2.1 y 3.2.2,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Kerosene en equipos moviles.
cl-fueloil5-est,1,,estacionaria,fuel oil 5,CL,2025,m3,,,,3013.50628726749,AR5,alta,HuellaChile (MMA) - base IPCC 2006 Cuadro 2.4,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Petroleo 5.
cl-fueloil6-est,1,,estacionaria,fuel oil,CL,2025,m3,,,,3072.02097245715,AR5,alta,HuellaChile (MMA) - base IPCC 2006 Cuadro 2.4,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Petroleo 6 o fuel oil residual.
cl-carbon-est,1,,estacionaria,carbon,CL,2025,t,,,,2652.7371160499997,AR5,alta,HuellaChile (MMA) - base IPCC 2006 Cuadro 2.4,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Carbon termico y metalurgico comparten factor en la base chilena.
cl-petcoke-est,1,,estacionaria,coque,CL,2025,t,,,,3155.342485014,AR5,alta,HuellaChile (MMA) - base IPCC 2006 Cuadro 2.4,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Petcoke.
cl-r32,1,,fugitiva,hfc-32,CL,2025,kg,,,,677,AR5,alta,HuellaChile (MMA) - IPCC AR5 Tabla 8.A.1,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Refrigerante R-32. El factor es el propio PCG del gas.
cl-r125,1,,fugitiva,hfc-125,CL,2025,kg,,,,3170,AR5,alta,HuellaChile (MMA) - IPCC AR5 Tabla 8.A.1,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Refrigerante HFC-125.
cl-r134a,1,,fugitiva,hfc-134a,CL,2025,kg,,,,1300,AR5,alta,HuellaChile (MMA) - IPCC AR5 Tabla 8.A.1,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Refrigerante de aire acondicionado vehicular y refrigeracion comercial.
cl-r143a,1,,fugitiva,hfc-143a,CL,2025,kg,,,,4800,AR5,alta,HuellaChile (MMA) - IPCC AR5 Tabla 8.A.1,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Refrigerante HFC-143a.
cl-r22,1,,fugitiva,r-22,CL,2025,kg,,,,1760,AR5,alta,HuellaChile (MMA) - IPCC AR5 Tabla 8.A.1,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,HCFC-22. En eliminacion por el Protocolo de Montreal.
cl-r404a,1,,fugitiva,r-404a,CL,2025,kg,,,,3942.8,AR5,alta,HuellaChile (MMA) - IPCC AR5 Tabla 8.A.1,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Refrigeracion comercial de frio.
cl-r407c,1,,fugitiva,r-407c,CL,2025,kg,,,,1624.21,AR5,alta,HuellaChile (MMA) - IPCC AR5 Tabla 8.A.1,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Refrigerante R-407C.
cl-r410a,1,,fugitiva,r-410a,CL,2025,kg,,,,1923.5,AR5,alta,HuellaChile (MMA) - IPCC AR5 Tabla 8.A.1,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Aire acondicionado tipo split. Valor AR5 de HuellaChile.
cl-r507,1,,fugitiva,r-507,CL,2025,kg,,,,3985,AR5,alta,HuellaChile (MMA) - IPCC AR5 Tabla 8.A.1,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Refrigerante R-507.
cl-sf6,1,,fugitiva,sf6,CL,2025,kg,,,,23500,AR5,alta,HuellaChile (MMA) - IPCC AR5 Tabla 8.A.1,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Hexafluoruro de azufre en equipos electricos.
pe-elec-2022,2,,electricidad,electricidad,PE,2022,kWh,0.19989608,0.00001025,0.00000128,,,media,MINAM - Huella de Carbono Peru (via informes ISO 14064-1 verificados),https://huelladecarbonoperu.minam.gob.pe/,Uso publico con atribucion,2026-09-15,Factor del SEIN separado por gas. Fuente secundaria: la tabla oficial esta tras autenticacion. Confirmar antes de un reporte auditable.
pe-elec-2023,2,,electricidad,electricidad,PE,2023,kWh,0.213031882,0.0000104,0.000001298,,,media,MINAM - Huella de Carbono Peru (via informes ISO 14064-1 verificados),https://huelladecarbonoperu.minam.gob.pe/,Uso publico con atribucion,2026-09-15,Factor del SEIN separado por gas. Fuente secundaria. No incluye perdidas de transmision y distribucion.
pe-elec-2024,2,,electricidad,electricidad,PE,2024,kWh,0.170232636063711,0.0000095198,0.00000117053,,,media,MINAM - Huella de Carbono Peru (via informes ISO 14064-1 verificados),https://huelladecarbonoperu.minam.gob.pe/,Uso publico con atribucion,2026-09-15,Factor del SEIN separado por gas. Fuente secundaria: confirmar en la plataforma MINAM antes de un reporte auditable.
