pais,iso3,nombre,agregacion,periodo,factor,version,fuente,url,licencia,verificado_el,notas
CL,CHL,Chile,no_agricola,08,7.03,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
CL,CHL,Chile,no_agricola,09,7.78,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
CL,CHL,Chile,no_agricola,10,9.4,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
CL,CHL,Chile,no_agricola,11,63.1,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
CL,CHL,Chile,no_agricola,12,79.7,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
PE,PER,Peru,no_agricola,anual,24.4,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
PE,PER,Peru,agricola,anual,37.6,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
PE,PER,Peru,no_especificado,anual,36.2,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
PE,PER,Peru,no_agricola,01,12.2,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
PE,PER,Peru,no_agricola,02,10.3,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
PE,PER,Peru,no_agricola,03,8.89,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
PE,PER,Peru,no_agricola,04,42.2,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
PE,PER,Peru,no_agricola,05,65.0,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
PE,PER,Peru,no_agricola,06,50.2,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
PE,PER,Peru,no_agricola,07,27.3,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
PE,PER,Peru,no_agricola,08,17.0,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
PE,PER,Peru,no_agricola,09,15.2,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
PE,PER,Peru,no_agricola,10,14.9,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
PE,PER,Peru,no_agricola,11,14.5,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
PE,PER,Peru,no_agricola,12,14.1,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
AR,ARG,Argentina,no_agricola,anual,6.23,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
AR,ARG,Argentina,agricola,anual,41.5,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
AR,ARG,Argentina,no_especificado,anual,33.5,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
AR,ARG,Argentina,no_agricola,01,10.5,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
AR,ARG,Argentina,no_agricola,02,9.01,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
AR,ARG,Argentina,no_agricola,03,5.32,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
AR,ARG,Argentina,no_agricola,04,3.69,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
AR,ARG,Argentina,no_agricola,05,4.12,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
AR,ARG,Argentina,no_agricola,06,4.06,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
AR,ARG,Argentina,no_agricola,07,4.73,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
AR,ARG,Argentina,no_agricola,08,4.81,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
AR,ARG,Argentina,no_agricola,09,5.35,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
AR,ARG,Argentina,no_agricola,10,5.76,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
AR,ARG,Argentina,no_agricola,11,8.88,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
AR,ARG,Argentina,no_agricola,12,8.69,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
BR,BRA,Brasil,no_agricola,anual,4.38,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
BR,BRA,Brasil,agricola,anual,6.35,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
BR,BRA,Brasil,no_especificado,anual,5.58,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
BR,BRA,Brasil,no_agricola,01,3.55,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
BR,BRA,Brasil,no_agricola,02,3.29,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
BR,BRA,Brasil,no_agricola,03,6.74,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
BR,BRA,Brasil,no_agricola,04,2.5,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
BR,BRA,Brasil,no_agricola,05,1.92,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
BR,BRA,Brasil,no_agricola,06,2.45,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
