codigo,bien,actividad,vida_util_normal,vida_util_acelerada,resolucion,fuente,verificado_el,notas
sii-gen-11,Automoviles,generico,7,2,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,
sii-gen-12,"Microbuses, taxibuses, furgones y similares",generico,7,2,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,
sii-gen-13,Motos en general,generico,7,2,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,
sii-gen-14,"Remolques, semirremolques y carros de arrastre",generico,7,2,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,
sii-gen-15,Maquinarias y equipos en general,generico,15,5,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,"Es la fila que se usa cuando la maquina no aparece con nombre propio en ninguna otra nomina."
sii-gen-16,"Balanzas, hornos microondas, refrigeradores, conservadoras, vitrinas refrigeradas y cocinas",generico,9,3,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,"La Res. 43/2002 no tiene nomina propia de frigorificos ni de industria de alimentos: los equipos de frio se clasifican en esta fila o en la de camaras de refrigeracion."
sii-gen-17,Equipos de aire y camaras de refrigeracion,generico,10,3,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,"Aire acondicionado y camaras de frio. La Res. 43/2002 no tiene nomina propia de cadena de frio."
sii-gen-18,Herramientas pesadas,generico,8,2,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,
sii-gen-19,Herramientas livianas,generico,3,1,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,
sii-gen-20,Letreros camineros y luminosos,generico,10,3,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,
sii-gen-21,"Utiles de oficina (maquina de escribir, fotocopiadora)",generico,3,1,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,
sii-gen-22,Muebles y enseres,generico,7,2,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,"Escritorios, sillas, estanterias y mesas de trabajo."
sii-gen-23,"Sistemas computacionales, computadores, perifericos y similares (cajeros automaticos, cajas registradoras)",generico,6,2,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,"El computador es un bien fisico y se deprecia; el software no es un bien fisico y queda fuera del art. 31 N 5."
sii-gen-24,Estanques,generico,10,3,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,
sii-gen-25,Equipos medicos en general,generico,8,2,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,
sii-gen-26,"Equipos de vigilancia, deteccion y control de incendios, alarmas",generico,7,2,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,
sii-gen-27,Envases en general,generico,6,2,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,
sii-gen-28,Equipo de audio y video,generico,6,2,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,
sii-gen-29,Material de audio y video,generico,5,1,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,
sii-gen-30,Vehiculos electricos o hibridos con recarga electrica exterior,generico,3,1,Res. Ex. SII N 56 de 09.06.2021,"SII - Res. Ex. N 56 de 09.06.2021, que incorpora estos vehiculos a la tabla de vida util del activo inmovilizado",2026-09-16,"Aplica a vehiculos utilizados desde el 13.02.2021 y hasta el 14.02.2031 (codigos del Formulario 22 de los anos tributarios 2022 a 2032)."
sii-gen-31,Otros vehiculos calificados como cero emisiones por resolucion fundada del Ministerio de Energia,generico,3,1,Res. Ex. SII N 56 de 09.06.2021,"SII - Res. Ex. N 56 de 09.06.2021, que incorpora estos vehiculos a la tabla de vida util del activo inmovilizado",2026-09-16,"Necesita la resolucion fundada del Ministerio de Energia que califica al vehiculo como cero emisiones. Aplica a vehiculos utilizados desde el 13.02.2021 y hasta el 14.02.2031."
sii-agr-01,"Tractores, segadoras, cultivadoras, fumigadoras, motobombas, pulverizadoras",agricola,8,2,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-02,"Cosechadoras, arados, esparcidoras de abono y cal, maquinas de ordenar",agricola,11,3,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-03,Esquiladoras mecanicas y maquinarias agricolas no comprendidas en otros items,agricola,11,3,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-04,"Vehiculos de carga motorizados (camiones, trailers, acoplados)",agricola,10,3,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-05,"Carretas, carretones, carretelas",agricola,15,5,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-06,Camiones de carga y camionetas de uso intensivo agricola,agricola,6,2,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,"Uso intensivo agricola: es mas corta que la de camionetas de la nomina generica (7 anios). Confirma con tu contador cual corresponde."
sii-agr-07,Tuberias para agua potable en predios agricolas,agricola,18,6,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-08,"Construcciones de material solido (silos, casas patronales, lagares)",agricola,50,16,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-09,"Construcciones de adobe, madera o estructuras metalicas",agricola,20,6,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-10,Animales de trabajo,agricola,8,2,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-11,"Reproductores (toros, carneros, verracos, potros)",agricola,5,1,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-12,Gallos y pavos reproductores,agricola,3,1,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-13,Vinedos,agricola,,,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,"La tabla fija la vida util segun la variedad: entre 11 y 23 anios de vida util normal y entre 3 y 7 de acelerada. El motor no elige por ti: confirma la variedad y el anio exacto con tu contador."
sii-agr-14,"Nogales, paltos, ciruelos, manzanos, almendros",agricola,18,6,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-15,Limoneros,agricola,12,4,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-16,Duraznos,agricola,10,3,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-17,Otras plantaciones frutales,agricola,13,4,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-18,Olivos,agricola,40,13,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-19,Naranjos,agricola,30,10,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-20,Perales,agricola,25,8,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-21,Oregano,agricola,9,3,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-22,Alfalfa,agricola,4,1,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-23,Animales de lecheria (vacas),agricola,7,2,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-24,Gallinas,agricola,3,1,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-25,Ovejas,agricola,5,1,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-26,Yeguas,agricola,12,4,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-27,Porcinos de reproduccion (hembras),agricola,6,2,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-28,Conejos,agricola,3,1,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-29,Caprinos,agricola,5,1,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-30,Asnales,agricola,5,1,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-31,Postes y alambradas para vinas,agricola,10,3,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-32,"Instalaciones anexas a tranques (bombas, estanques)",agricola,10,3,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-33,Canales de riego revestidos en concreto,agricola,70,23,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-34,Canales de riego con fierro pesado,agricola,45,15,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-35,Canales de riego con madera,agricola,25,8,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-36,Pozos con cemento u hormigon armado,agricola,20,6,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-37,Pozos con ladrillo,agricola,15,5,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-38,Bombas elevadoras de agua,agricola,20,6,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-39,Puentes de cemento,agricola,75,25,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-40,Puentes metalicos,agricola,45,15,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
sii-agr-41,Puentes de madera,agricola,30,10,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de la actividad agricola",2026-09-16,
