marco,codigo,titulo,dimension,obligatorio,dato_fuente,responde,descripcion,fuente,url,verificado_el,notas
GRI,301-3,Productos y envases recuperados,ambiental,segun_materialidad,,,Productos y envases que se recuperan al final de su vida util.,GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,302-1,Consumo de energia dentro de la organizacion,ambiental,segun_materialidad,consumos.xlsx,parte,"Cuanta energia consume la empresa, por fuente (combustibles, electricidad, vapor).",GRI 302: Energy 2016 (PDF oficial),https://www.globalreporting.org/pdf.ashx?id=12467,2026-09-15,GRI 302 rige hasta el 31-dic-2026; desde el 1-ene-2027 lo reemplaza GRI 103: Energy 2025.
GRI,302-2,Consumo de energia fuera de la organizacion,ambiental,segun_materialidad,,,Energia consumida por terceros en la cadena de valor de la empresa.,GRI 302: Energy 2016 (PDF oficial),https://www.globalreporting.org/pdf.ashx?id=12467,2026-09-15,GRI 302 rige hasta el 31-dic-2026; desde el 1-ene-2027 lo reemplaza GRI 103.
GRI,302-3,Intensidad energetica,ambiental,segun_materialidad,consumos.xlsx,parte,"Energia consumida dividida por una medida del negocio (produccion, ventas, personas).",GRI 302: Energy 2016 (PDF oficial),https://www.globalreporting.org/pdf.ashx?id=12467,2026-09-15,GRI 302 rige hasta el 31-dic-2026; desde el 1-ene-2027 lo reemplaza GRI 103.
GRI,302-5,Reduccion de la energia que requieren productos y servicios,ambiental,segun_materialidad,,,Cuanta energia dejaron de requerir los productos o servicios vendidos gracias a mejoras.,GRI 302: Energy 2016 (PDF oficial),https://www.globalreporting.org/pdf.ashx?id=12467,2026-09-15,GRI 302 rige hasta el 31-dic-2026; su contenido pasa a 103-5.
GRI,303-1,El agua como recurso compartido,ambiental,segun_materialidad,,,"Como y donde se capta, usa y devuelve el agua, y como se gestionan los impactos en la cuenca.",GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,303-2,Gestion de los impactos del vertido de agua,ambiental,segun_materialidad,,,Que estandares de calidad se aplican al agua que se devuelve al ambiente.,GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,303-3,Captacion de agua,ambiental,segun_materialidad,agua.indicadores,todo,"Cuanta agua se capta, por fuente, con detalle de las zonas con estres hidrico.",GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,303-4,Vertido de agua,ambiental,segun_materialidad,agua.indicadores,parte,"Cuanta agua se descarga, a donde va y con que calidad.",GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,303-5,Consumo de agua,ambiental,segun_materialidad,agua.indicadores,todo,"Agua captada menos agua devuelta, mas el cambio en el almacenamiento.",GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,305-1,Emisiones directas de GEI (Alcance 1),ambiental,segun_materialidad,huella.por_alcance.alcance_1,todo,Emisiones de los combustibles que la empresa quema y de sus fugas de gases.,GRI 305: Emissions 2016 (PDF oficial),https://globalreporting.org/pdf.ashx?id=12510,2026-09-15,"Se retira el 1-ene-2027, cuando entra en vigor GRI 102: Climate Change 2025."
GRI,305-2,Emisiones indirectas por energia comprada (Alcance 2),ambiental,segun_materialidad,huella.por_alcance.alcance_2,todo,"Emisiones de la electricidad, el vapor o el calor que la empresa compra.",GRI 305: Emissions 2016 (PDF oficial),https://globalreporting.org/pdf.ashx?id=12510,2026-09-15,"Se retira el 1-ene-2027, cuando entra en vigor GRI 102: Climate Change 2025. GRI pide el dato por ubicacion y, si existe, tambien por mercado."
GRI,305-3,Otras emisiones indirectas (Alcance 3),ambiental,segun_materialidad,huella.por_alcance.alcance_3;huella.por_categoria_alcance3,todo,"Emisiones de la cadena de valor: compras, fletes, viajes, residuos y uso de los productos.",GRI 305: Emissions 2016 (PDF oficial),https://globalreporting.org/pdf.ashx?id=12510,2026-09-15,"Se retira el 1-ene-2027, cuando entra en vigor GRI 102: Climate Change 2025."
GRI,305-4,Intensidad de emisiones,ambiental,segun_materialidad,huella.total_t_co2e,parte,"Emisiones divididas por una medida del negocio, para comparar en el tiempo.",GRI 305: Emissions 2016 (PDF oficial),https://globalreporting.org/pdf.ashx?id=12510,2026-09-15,"Se retira el 1-ene-2027, cuando entra en vigor GRI 102: Climate Change 2025."
GRI,305-5,Reduccion de emisiones lograda,ambiental,segun_materialidad,huella.por_periodo;metas,parte,"Cuantas toneladas se redujeron, con que medidas y contra que ano base.",GRI 305: Emissions 2016 (PDF oficial),https://globalreporting.org/pdf.ashx?id=12510,2026-09-15,"Se retira el 1-ene-2027, cuando entra en vigor GRI 102: Climate Change 2025."
GRI,305-6,Emisiones de sustancias que agotan el ozono,ambiental,segun_materialidad,,,"Emisiones de sustancias que danan la capa de ozono, en toneladas equivalentes de CFC-11.",GRI 305: Emissions 2016 (PDF oficial),https://globalreporting.org/pdf.ashx?id=12510,2026-09-15,Permanece en GRI 305 despues del 1-ene-2027.
GRI,305-7,"NOx, SOx y otras emisiones al aire",ambiental,segun_materialidad,,,Otras emisiones significativas al aire distintas de los gases de efecto invernadero.,GRI 305: Emissions 2016 (PDF oficial),https://globalreporting.org/pdf.ashx?id=12510,2026-09-15,Permanece en GRI 305 despues del 1-ene-2027.
GRI,306-1,Generacion de residuos e impactos asociados,ambiental,segun_materialidad,,,De donde salen los residuos de la empresa y que impactos provocan a lo largo de la cadena de valor.,GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,306-2,Gestion de los impactos de los residuos,ambiental,segun_materialidad,,,Que hace la empresa para generar menos residuos y como controla a quienes se los llevan.,GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,306-3,Residuos generados,ambiental,segun_materialidad,alcance3.xlsx,parte,"Toneladas de residuos generados, por tipo.",GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,306-4,Residuos desviados de eliminacion,ambiental,segun_materialidad,alcance3.xlsx,parte,"Residuos que se reutilizan, reciclan o valorizan en vez de ir a eliminacion.",GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,306-5,Residuos destinados a eliminacion,ambiental,segun_materialidad,alcance3.xlsx,parte,"Residuos que terminan en relleno sanitario, incineracion u otra forma de eliminacion.",GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,308-1,Proveedores nuevos evaluados con criterios ambientales,ambiental,segun_materialidad,,,Que porcentaje de los proveedores nuevos paso por una evaluacion ambiental.,GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,308-2,Impactos ambientales en la cadena de suministro,ambiental,segun_materialidad,,,Impactos ambientales negativos detectados en proveedores y que se hizo al respecto.,GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,401-1,Contrataciones y rotacion de personal,social,segun_materialidad,personas.xlsx,parte,"Cuanta gente entro y salio en el periodo, por edad, genero y lugar.",GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,401-2,Beneficios del personal de jornada completa,social,segun_materialidad,,,Beneficios que reciben quienes trabajan a jornada completa y no reciben los temporales o parciales.,GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,401-3,Permiso parental,social,segun_materialidad,,,"Cuantas personas usaron el permiso parental, cuantas volvieron y cuantas siguen en la empresa.",GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,403-1,Sistema de gestion de seguridad y salud,social,segun_materialidad,,,Si existe un sistema de gestion de seguridad y salud laboral y a quienes cubre.,GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,403-2,Identificacion de peligros e investigacion de incidentes,social,segun_materialidad,,,"Como se detectan los peligros, se evaluan los riesgos y se investigan los accidentes.",GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,403-3,Servicios de salud ocupacional,social,segun_materialidad,,,Que servicios de salud ocupacional existen y como resguardan la informacion de las personas.,GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,403-4,Participacion y consulta de los trabajadores,social,segun_materialidad,,,"Como participan los trabajadores en seguridad y salud, incluidos los comites paritarios.",GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,403-5,Formacion en seguridad y salud,social,segun_materialidad,,,Capacitacion en seguridad y salud que recibieron los trabajadores.,GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,403-6,Promocion de la salud de los trabajadores,social,segun_materialidad,,,Programas de salud voluntarios y acceso a atencion medica mas alla de lo obligatorio.,GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,403-7,Prevencion de impactos ligados a relaciones comerciales,social,segun_materialidad,,,Como se previenen los impactos en seguridad y salud causados por contratistas y clientes.,GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,403-8,Trabajadores cubiertos por el sistema de gestion,social,segun_materialidad,,,"Cuantas personas quedan cubiertas por el sistema de seguridad y salud, propias y de terceros.",GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,403-9,Lesiones por accidentes del trabajo,social,segun_materialidad,personas.xlsx,parte,"Accidentes, dias perdidos, lesiones graves y fatalidades, con las horas trabajadas de base.",GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,403-10,Enfermedades laborales,social,segun_materialidad,,,Enfermedades profesionales del periodo y los peligros que las causaron.,GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,404-1,Horas de capacitacion por persona,social,segun_materialidad,personas.xlsx,todo,"Promedio de horas de capacitacion al ano por persona, por genero y categoria.",GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,404-2,Programas de desarrollo y transicion,social,segun_materialidad,,,Programas para mejorar competencias y para acompanar salidas o fin de carrera.,GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,404-3,Evaluaciones de desempeno,social,segun_materialidad,,,Porcentaje de personas con evaluacion periodica de desempeno y desarrollo.,GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,405-1,Diversidad del gobierno y de la plantilla,social,segun_materialidad,personas.xlsx,parte,"Composicion del directorio y de la plantilla por genero, edad y otros indicadores.",GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,405-2,Brecha salarial entre mujeres y hombres,social,segun_materialidad,personas.xlsx,todo,Relacion entre el salario de mujeres y hombres por categoria y lugar.,GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,406-1,Casos de discriminacion y medidas correctivas,social,segun_materialidad,,,Casos de discriminacion ocurridos y que se hizo con cada uno.,GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,413-1,Operaciones con participacion de la comunidad,social,segun_materialidad,sitios.xlsx,parte,"Porcentaje de operaciones con dialogo comunitario, evaluaciones de impacto y programas de desarrollo.",GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,413-2,Impactos negativos en comunidades locales,social,segun_materialidad,sitios.xlsx,parte,Operaciones con impactos negativos reales o potenciales sobre comunidades vecinas.,GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,414-1,Proveedores nuevos evaluados con criterios sociales,social,segun_materialidad,,,Que porcentaje de los proveedores nuevos paso por una evaluacion social.,GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,414-2,Impactos sociales en la cadena de suministro,social,segun_materialidad,,,Impactos sociales negativos detectados en proveedores y que se hizo al respecto.,GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,418-1,Reclamos por privacidad de clientes,social,segun_materialidad,,,Reclamos fundados por filtraciones de datos o uso indebido de informacion de clientes.,GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,101-1,Politicas para detener y revertir la perdida de biodiversidad,ambiental,segun_materialidad,,,Compromisos y politicas de la empresa frente a la perdida de biodiversidad.,GRI 101: Biodiversity 2024 (PDF oficial),https://www.globalreporting.org/pdf.ashx?id=24534,2026-09-15,"GRI 101: Biodiversity 2024, vigente para informes publicados desde el 1-ene-2026."
GRI,101-2,Gestion de los impactos en biodiversidad,ambiental,segun_materialidad,,,"Como se gestionan los impactos aplicando la jerarquia de mitigacion: evitar, minimizar, restaurar, compensar.",GRI 101: Biodiversity 2024 (PDF oficial),https://www.globalreporting.org/pdf.ashx?id=24534,2026-09-15,"GRI 101, vigente desde el 1-ene-2026."
GRI,101-3,Acceso a recursos geneticos y reparto de beneficios,ambiental,segun_materialidad,,,Uso de recursos geneticos y reparto justo de los beneficios que generan.,GRI 101: Biodiversity 2024 (PDF oficial),https://www.globalreporting.org/pdf.ashx?id=24534,2026-09-15,"GRI 101, vigente desde el 1-ene-2026."
GRI,101-4,Identificacion de impactos en biodiversidad,ambiental,segun_materialidad,,,"Como se identifica donde ocurren los impactos, en operaciones propias y en la cadena de suministro.",GRI 101: Biodiversity 2024 (PDF oficial),https://www.globalreporting.org/pdf.ashx?id=24534,2026-09-15,"GRI 101, vigente desde el 1-ene-2026."
GRI,101-5,Lugares con impactos en biodiversidad,ambiental,segun_materialidad,sitios.xlsx,parte,"Lugares concretos con impactos significativos, incluidas las areas ecologicamente sensibles.",GRI 101: Biodiversity 2024 (PDF oficial),https://www.globalreporting.org/pdf.ashx?id=24534,2026-09-15,"GRI 101, vigente desde el 1-ene-2026."
GRI,101-6,Causas directas de la perdida de biodiversidad,ambiental,segun_materialidad,,,"Informacion por causa: cambio de uso de suelo o mar, explotacion de recursos, clima, contaminacion y especies invasoras.",GRI 101: Biodiversity 2024 (PDF oficial),https://www.globalreporting.org/pdf.ashx?id=24534,2026-09-15,"GRI 101, vigente desde el 1-ene-2026."
GRI,101-7,Cambios en el estado de la biodiversidad,ambiental,segun_materialidad,,,Cambios medidos o estimados en ecosistemas y especies.,GRI 101: Biodiversity 2024 (PDF oficial),https://www.globalreporting.org/pdf.ashx?id=24534,2026-09-15,"GRI 101, vigente desde el 1-ene-2026."
GRI,101-8,Servicios ecosistemicos,ambiental,segun_materialidad,,,Servicios de la naturaleza afectados y comunidades que dependen de ellos.,GRI 101: Biodiversity 2024 (PDF oficial),https://www.globalreporting.org/pdf.ashx?id=24534,2026-09-15,"GRI 101, vigente desde el 1-ene-2026."
GRI,102-1,Plan de transicion para mitigar el cambio climatico,ambiental,segun_materialidad,metas,parte,"Contenido del plan de transicion, con que esta alineado, quien lo gobierna y como avanza.",GRI 102: Climate Change 2025 (PDF oficial),https://globalreporting.org/pdf.ashx?id=29514,2026-09-15,Vigente para informes publicados desde el 1-ene-2027. Se permite adopcion anticipada.
GRI,102-2,Plan de adaptacion al cambio climatico,ambiental,segun_materialidad,,,Riesgos fisicos del clima y medidas de adaptacion.,GRI 102: Climate Change 2025 (PDF oficial),https://globalreporting.org/pdf.ashx?id=29514,2026-09-15,Vigente para informes publicados desde el 1-ene-2027. Se permite adopcion anticipada.
GRI,102-3,Transicion justa,social,segun_materialidad,,,"Efectos de la transicion sobre trabajadores y comunidades, y medidas para acompanarlos.",GRI 102: Climate Change 2025 (PDF oficial),https://globalreporting.org/pdf.ashx?id=29514,2026-09-15,Vigente para informes publicados desde el 1-ene-2027. Se permite adopcion anticipada.
GRI,102-4,Metas de reduccion de GEI y avance,ambiental,segun_materialidad,metas,parte,"Metas de corto, mediano y largo plazo y cuanto se ha avanzado frente a ellas.",GRI 102: Climate Change 2025 (PDF oficial),https://globalreporting.org/pdf.ashx?id=29514,2026-09-15,Vigente para informes publicados desde el 1-ene-2027. Se permite adopcion anticipada.
GRI,102-5,Emisiones de Alcance 1,ambiental,segun_materialidad,huella.por_alcance.alcance_1,todo,Emisiones directas de la empresa.,GRI 102: Climate Change 2025 (PDF oficial),https://globalreporting.org/pdf.ashx?id=29514,2026-09-15,Vigente para informes publicados desde el 1-ene-2027. Se permite adopcion anticipada. Reemplaza a 305-1.
GRI,102-6,Emisiones de Alcance 2,ambiental,segun_materialidad,huella.por_alcance.alcance_2,todo,Emisiones de la energia comprada.,GRI 102: Climate Change 2025 (PDF oficial),https://globalreporting.org/pdf.ashx?id=29514,2026-09-15,Vigente para informes publicados desde el 1-ene-2027. Se permite adopcion anticipada. Reemplaza a 305-2.
GRI,102-7,Emisiones de Alcance 3,ambiental,segun_materialidad,huella.por_alcance.alcance_3;huella.por_categoria_alcance3,todo,Emisiones de la cadena de valor.,GRI 102: Climate Change 2025 (PDF oficial),https://globalreporting.org/pdf.ashx?id=29514,2026-09-15,Vigente para informes publicados desde el 1-ene-2027. Se permite adopcion anticipada. Reemplaza a 305-3.
GRI,102-8,Intensidad de emisiones,ambiental,segun_materialidad,huella.total_t_co2e,parte,Emisiones por unidad de actividad o de negocio.,GRI 102: Climate Change 2025 (PDF oficial),https://globalreporting.org/pdf.ashx?id=29514,2026-09-15,Vigente para informes publicados desde el 1-ene-2027. Se permite adopcion anticipada. Reemplaza a 305-4.
GRI,102-9,Remociones de GEI en la cadena de valor,ambiental,segun_materialidad,,,Carbono removido de la atmosfera dentro de la cadena de valor.,GRI 102: Climate Change 2025 (PDF oficial),https://globalreporting.org/pdf.ashx?id=29514,2026-09-15,Vigente para informes publicados desde el 1-ene-2027. Se permite adopcion anticipada.
GRI,102-10,Creditos de carbono,ambiental,segun_materialidad,,,"Creditos de carbono cancelados y comprados sin cancelar, por tipo de proyecto.",GRI 102: Climate Change 2025 (PDF oficial),https://globalreporting.org/pdf.ashx?id=29514,2026-09-15,Vigente para informes publicados desde el 1-ene-2027. Se permite adopcion anticipada.
